id,name,dob,address,aadhar_number
942,Chaaya Patla,1940-01-19,"67/35, Sastry Nagar, Nangloi Jat 076916",628943666
943,Gunbir Contractor,1988-12-10,"15/695, Sandal Marg, Purnia 726534",889973431
944,Sara Pandit,1972-04-08,"83, Kothari Street, Srikakulam-307347",602364492
945,Tejas Sura,2001-06-26,"H.No. 31, Ramachandran Street, Nadiad-923391",255910973
946,Lajita Soman,1992-08-13,"658, Nadkarni Road, Dhule-932080",203713175
947,Radha Purohit,1974-07-09,"79/02, D’Alia Ganj, Kirari Suleman Nagar 237695",201596843
948,Daniel Agarwal,1934-10-05,"H.No. 337, Gola Path, Rajkot-588079",461984751
949,Vasatika Bath,1957-07-01,"44/410, Nair Marg, Kishanganj-425885",331891364
950,Daksh Mander,2005-09-16,"50, Ramesh Circle, Gudivada 302984",293733149
951,Anvi Gade,1955-05-31,"51/70, Chokshi, Tenali 692234",332982416
952,Ikshita Bansal,1961-09-06,"H.No. 577, Mani Street, Aurangabad-106910",935839386
953,Jagat Saraf,1998-01-12,"998, Rajan Nagar, Bhagalpur-373564",508772219
954,Harrison Verma,1962-01-13,"73, Narasimhan Nagar, Bidar 458576",794038741
955,Janaki Mohanty,2005-07-01,"123, Talwar Circle, Amritsar 380363",575182839
956,Girindra Luthra,1950-11-06,"316, Purohit Marg, Ratlam-937175",730752172
957,Neel Memon,1978-01-15,"70, Batra Nagar, Madurai 556247",377264573
958,Pranit Goel,1953-04-26,"20, Bassi Chowk, Bangalore-183826",916957400
959,Chatresh Ben,1994-08-02,"63/97, Rajagopalan Nagar, Machilipatnam 691352",641969704
960,Bakhshi Ben,1957-11-21,"84/902, Master Chowk, Kanpur-444355",897406658
961,Christopher Yadav,1942-06-17,"65/48, Suresh Chowk, Bidar 473183",330078888
962,Niharika Krishnan,1978-09-04,"09, Grover, Korba 762526",040408562
963,Faris Balan,1936-09-21,"26/787, Oak Path, Meerut-886035",802144342
964,Peter Sura,1957-06-04,"H.No. 042, Bhakta Nagar, Bhatpara 211762",033008442
965,Rachana Savant,1991-08-31,"H.No. 869, Kala, Davanagere-452562",818465482
966,Advaith Brahmbhatt,1940-07-01,"41/20, Bose Marg, Sagar-112320",457893780
967,Damyanti Iyengar,1942-05-23,"074, Palla Marg, Ongole 427209",201608076
968,Zayyan Oommen,1972-02-14,"62/127, Saxena, Bhimavaram 201586",611355928
969,Rushil Kota,1973-05-08,"23/219, Om Marg, Bidar-097536",856126547
970,Xiti Chand,1976-10-30,"H.No. 91, Mand Street, Jammu 728527",107357478
971,Zaitra Wable,1982-02-01,"33, Nair Marg, Avadi-035082",069383036
972,Megha Borde,1966-08-28,"H.No. 951, Dugar, Narasaraopet-472811",964096144
973,Damini Pingle,1993-07-28,"H.No. 836, Pingle Nagar, Bidar-163074",432875583
974,Dhriti Saraf,1996-08-28,"H.No. 105, Halder Path, Sagar 497739",956680995
975,Azaan Narula,1976-12-11,"H.No. 582, Saxena Ganj, Meerut 867567",575087336
976,Janaki Manda,1982-08-27,"82, Bhatt Nagar, Korba-904379",031325908
977,Darpan Choudhary,1938-11-20,"297, Krishnan Circle, Rajkot-256650",462232897
978,Alexander Bhat,1958-08-26,"H.No. 93, Dhawan Nagar, Jalandhar-596664",694486214
979,Vasana Uppal,1955-04-09,"817, Madan Marg, Silchar-534199",637658475
980,Ria Doshi,1973-12-13,"48/146, Dewan Path, South Dumdum-041441",341263320
981,Abhiram Kalla,1975-02-08,"09/119, Kanda Marg, Ozhukarai 537340",144113072
982,Gunbir Patla,1934-09-30,"39/590, Gera Nagar, Vellore-762596",345271312
983,Bishakha Balasubramanian,1971-02-01,"30/51, Apte Street, Junagadh-460533",281106023
984,Vansha Mital,2004-02-28,"79/127, Parmer Path, Mathura 302211",327071378
985,Anusha Saraf,1962-05-25,"H.No. 66, Kaur Chowk, Giridih-707377",550663260
986,Kavya Sama,2001-10-04,"H.No. 59, Gola Marg, Malda 671916",520864334
987,Libni Krishnan,1957-12-15,"00/167, Kuruvilla Nagar, Gaya-920190",954842011
988,Alka Om,1989-12-22,"H.No. 952, Bava Street, Sirsa-496357",190934637
989,Upma Mammen,1989-01-24,"11/286, Pillai Circle, Hosur-459723",982058317
990,Parth Kapoor,1989-12-18,"H.No. 621, Setty, Thiruvananthapuram-129202",208403136
991,Aadhya Sani,1996-11-20,"H.No. 898, Chokshi Marg, Jalna 324986",415865561
992,Karan Gill,1966-12-29,"H.No. 41, Balay Nagar, Shahjahanpur 902871",917005237
993,Anthony Sundaram,2003-02-22,"H.No. 62, Chhabra Path, Guwahati-788196",215361826
994,Vyanjana Pant,1964-12-20,"33/936, Ramesh Path, Korba-507475",049466446
995,Rachita Gokhale,1969-08-19,"H.No. 098, Tiwari Street, Nadiad-314680",876563843
996,Eshana Bhatt,1938-12-08,"86, Din Zila, Jalna-711290",892724427
997,Vedant Singh,1997-06-18,"45/44, Khurana Circle, Ballia-469019",074009305
998,Jackson Mani,1951-08-13,"72/132, Chana Circle, Mirzapur 376682",571413194
999,Jalsa Saha,1983-04-19,"297, Dhillon Road, Haldia-022839",789419730
